sample_name,query,asv_read_index,asv_read_raw,asv_pa
E001,ASV1,0.20433835965786792,20106,1
E001,ASV10,0,0,0
E001,ASV100,0,0,0
E001,ASV101,1,7070,1
E001,ASV102,0,0,0
E001,ASV104,0,0,0
E001,ASV106,0.15391785583583598,365,1
E001,ASV11,0,0,0
E001,ASV113,0,0,0
E001,ASV114,0,0,0
E001,ASV116,0,0,0
E001,ASV119,0,0,0
E001,ASV12,0,0,0
E001,ASV121,0,0,0
E001,ASV124,1,4645,1
E001,ASV129,0,0,0
E001,ASV13,0.19975322254139405,5015,1
E001,ASV132,0,0,0
E001,ASV133,0,0,0
E001,ASV134,0,0,0
E001,ASV136,0,0,0
E001,ASV137,0,0,0
E001,ASV139,0,0,0
E001,ASV14,0,0,0
E001,ASV140,0,0,0
E001,ASV143,0,0,0
E001,ASV144,0,0,0
E001,ASV149,0,0,0
E001,ASV15,0,0,0
E001,ASV152,0,0,0
E001,ASV155,0,0,0
E001,ASV156,0,0,0
E001,ASV157,0,0,0
E001,ASV158,0,0,0
E001,ASV16,0,0,0
E001,ASV160,0,0,0
E001,ASV163,0,0,0
E001,ASV164,0,0,0
E001,ASV165,0,0,0
E001,ASV166,0,0,0
E001,ASV168,0,0,0
E001,ASV169,0,0,0
E001,ASV17,0,0,0
E001,ASV171,0,0,0
E001,ASV173,0,0,0
E001,ASV175,0,0,0
E001,ASV176,0,0,0
E001,ASV177,0,0,0
E001,ASV178,0,0,0
E001,ASV18,0,0,0
E001,ASV180,0,0,0
E001,ASV183,0,0,0
E001,ASV186,0,0,0
E001,ASV188,0,0,0
E001,ASV189,0,0,0
E001,ASV19,0,0,0
E001,ASV190,0,0,0
E001,ASV191,0,0,0
E001,ASV192,0,0,0
E001,ASV197,0,0,0
E001,ASV198,0,0,0
E001,ASV199,0,0,0
E001,ASV2,0.21618806914292676,14722,1
E001,ASV200,0,0,0
E001,ASV201,0,0,0
E001,ASV202,0,0,0
E001,ASV203,0,0,0
E001,ASV204,0,0,0
E001,ASV206,0,0,0
E001,ASV207,0,0,0
E001,ASV208,0,0,0
E001,ASV21,0,0,0
E001,ASV210,0,0,0
E001,ASV213,0,0,0
E001,ASV214,0,0,0
E001,ASV215,0,0,0
E001,ASV217,0,0,0
E001,ASV218,0,0,0
E001,ASV22,0,0,0
E001,ASV220,0,0,0
E001,ASV221,0,0,0
E001,ASV222,0,0,0
E001,ASV223,0,0,0
E001,ASV224,0,0,0
E001,ASV225,0,0,0
E001,ASV23,0,0,0
E001,ASV230,0,0,0
E001,ASV231,0,0,0
E001,ASV232,0,0,0
E001,ASV235,0,0,0
E001,ASV236,0,0,0
E001,ASV237,0,0,0
E001,ASV240,0,0,0
E001,ASV241,0,0,0
E001,ASV242,0,0,0
E001,ASV244,0,0,0
E001,ASV245,0,0,0
E001,ASV247,0,0,0
E001,ASV249,0,0,0
E001,ASV25,0,0,0
E001,ASV252,0,0,0
E001,ASV253,0,0,0
E001,ASV254,0,0,0
E001,ASV257,0,0,0
E001,ASV258,0,0,0
E001,ASV259,0,0,0
E001,ASV261,0,0,0
E001,ASV262,0,0,0
E001,ASV263,0,0,0
E001,ASV264,0,0,0
E001,ASV265,0,0,0
E001,ASV27,0,0,0
E001,ASV270,0,0,0
E001,ASV272,0,0,0
E001,ASV273,0,0,0
E001,ASV275,0,0,0
E001,ASV276,0,0,0
E001,ASV279,0,0,0
E001,ASV280,0,0,0
E001,ASV281,0,0,0
E001,ASV283,0,0,0
E001,ASV284,0,0,0
E001,ASV285,0,0,0
E001,ASV286,0,0,0
E001,ASV29,0,0,0
E001,ASV294,0,0,0
E001,ASV295,0,0,0
E001,ASV296,0,0,0
E001,ASV297,0.6380669741885784,297,1
E001,ASV299,0,0,0
E001,ASV3,0.1992136779443412,3841,1
E001,ASV301,0,0,0
E001,ASV303,0,0,0
E001,ASV304,0,0,0
E001,ASV305,0,0,0
E001,ASV308,0,0,0
E001,ASV309,0,0,0
E001,ASV31,0,0,0
E001,ASV313,0,0,0
E001,ASV314,0,0,0
E001,ASV32,0,0,0
E001,ASV321,0,0,0
E001,ASV324,0,0,0
E001,ASV326,0,0,0
