kingdom,phylum,order,family,genus,species,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta bilineata,Lepidopsetta bilineata,1,44,588,8611,5213905,5213939,NA,NA,Lepidopsetta bilineata
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta polyxystra,Lepidopsetta polyxystra,1,44,588,8611,5213905,5213938,NA,NA,Lepidopsetta polyxystra
Animalia,Chordata,Perciformes,Zoarcidae,Lycodapus,Lycodapus microchir,Lycodapus microchir,1,44,587,5079,2380868,2380882,NA,NA,Lycodapus microchir
Animalia,Chordata,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria,1,44,590,5090,2335061,2335062,NA,NA,Anoplopoma fimbria
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus macrochir,Sebastolobus macrochir,1,44,590,8633,2335321,2335324,NA,NA,Sebastolobus macrochir
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastiscus,Sebastiscus marmoratus,Sebastiscus marmoratus,1,44,590,8633,2335354,2335355,NA,NA,Sebastiscus marmoratus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,Hippoglossoides elassodon,1,44,588,8611,2409098,2409109,NA,NA,Hippoglossoides elassodon
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,Sebastes mystinus,1,44,590,8633,2333712,2335366,NA,NA,Sebastes mystinus
Animalia,Chordata,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,Sprattus sprattus,1,44,538,7332,2413443,2413452,NA,NA,Sprattus sprattus
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,Citharichthys sordidus,1,44,588,5082,2408301,2408726,NA,NA,Citharichthys sordidus
Animalia,Chordata,Scorpaeniformes,Cottidae,Ascelichthys,Ascelichthys rhodorus,Ascelichthys rhodorus,1,44,590,8621,2334020,2334021,NA,NA,Ascelichthys rhodorus
Animalia,Chordata,Scorpaeniformes,Cottidae,Icelinus,Icelinus borealis,Icelinus borealis,1,44,590,8621,2334346,2334359,NA,NA,Icelinus borealis
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes evermanni,Atheresthes evermanni,1,44,588,8611,2409090,2409095,NA,NA,Atheresthes evermanni
Animalia,Chordata,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,Engraulis mordax,1,44,538,7334,2352080,2414024,NA,NA,Engraulis mordax
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis fucensis,Liparis fucensis,1,44,590,8627,2335959,5201508,NA,NA,Liparis fucensis
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,Platichthys stellatus,1,44,588,8611,2409326,2409327,NA,NA,Platichthys stellatus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys flesus,Platichthys flesus,1,44,588,8611,2409326,2409330,NA,NA,Platichthys flesus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Limanda ferruginea,Myzopsetta ferruginea,1,44,588,8611,5213949,5213953,NA,NA,Myzopsetta ferruginea
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis florae,Liparis florae,1,44,590,8627,2335959,5201520,NA,NA,Liparis florae
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta,1,44,1313,8615,2351426,5204014,NA,NA,Oncorhynchus keta
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis ornata,Pholis ornata,1,44,587,8576,2390397,5210410,NA,NA,Pholis ornata
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis laeta,Pholis laeta,1,44,587,8576,2390397,5210424,NA,NA,Pholis laeta
Animalia,Chordata,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,Hydrolagus colliei,1,44,880,2181,2417351,5215461,Holocephali,120,Hydrolagus colliei
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,Lyopsetta exilis,1,44,588,8611,2409225,2409226,NA,NA,Lyopsetta exilis
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,Sebastes crameri,1,44,590,8633,2333712,2335443,NA,NA,Sebastes crameri
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,1,44,1313,8615,2351426,5204024,NA,NA,Oncorhynchus tshawytscha
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,Microstomus pacificus,1,44,588,8611,2409352,5214028,NA,NA,Microstomus pacificus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes diploproa,Sebastes diploproa,1,44,590,8633,2333712,2335406,NA,NA,Sebastes diploproa
Animalia,Chordata,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,Gobiesox maeandricus,1,44,1163,7668,2411258,2411287,NA,NA,Gobiesox maeandricus
Animalia,Chordata,Gadiformes,Gadidae,Arctogadus,Arctogadus glacialis,Arctogadus glacialis,1,44,549,3701,2415881,2415882,NA,NA,Arctogadus glacialis
Animalia,Chordata,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,Artedius harringtoni,1,44,590,8621,2333960,2333963,NA,NA,Artedius harringtoni
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus morhua,Gadus morhua,1,44,549,3701,2335052,8084280,NA,NA,Gadus morhua
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis mucosus,Liparis mucosus,1,44,590,8627,2335959,5201509,NA,NA,Liparis mucosus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,Eopsetta jordani,1,44,588,8611,2409233,2409237,NA,NA,Eopsetta jordani
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss,1,44,1313,8615,2351426,5204019,NA,NA,Oncorhynchus mykiss
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus,1,44,590,8626,2336463,2336472,NA,NA,Hexagrammos decagrammus
Animalia,Chordata,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,Leptoclinus maculatus,1,44,587,8598,2394831,2394832,NA,NA,Leptoclinus maculatus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,Parophrys vetulus,1,44,588,8611,2409369,2409370,NA,NA,Parophrys vetulus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,Psettichthys melanostictus,1,44,588,8611,2408960,2409051,NA,NA,Psettichthys melanostictus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,Isopsetta isolepis,1,44,588,8611,2409201,2409202,NA,NA,Isopsetta isolepis
Animalia,Chordata,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps,Clinocottus acuticeps,1,44,590,8621,2333865,2333873,NA,NA,Clinocottus acuticeps
Animalia,Chordata,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,Raja binoculata,1,44,884,5877,7554168,7913005,Elasmobranchii,121,Raja binoculata
