sample_name,query,asv_read_index,asv_read_raw,asv_pa
E001,ASV495,0,0,0
E001,ASV496,0,0,0
E001,ASV497,0,0,0
E001,ASV498,0,0,0
E001,ASV5,0.0679408520842496,6722,1
E001,ASV50,0,0,0
E001,ASV501,0,0,0
E001,ASV504,0,0,0
E001,ASV508,0,0,0
E001,ASV509,0,0,0
E001,ASV510,0,0,0
E001,ASV512,0,0,0
E001,ASV513,0.16692216927444165,61,1
E001,ASV514,0,0,0
E001,ASV516,0,0,0
E001,ASV517,0,0,0
E001,ASV52,0,0,0
E001,ASV520,0,0,0
E001,ASV522,0,0,0
E001,ASV524,0,0,0
E001,ASV525,0,0,0
E001,ASV527,0,0,0
E001,ASV53,0,0,0
E001,ASV531,0,0,0
E001,ASV532,0,0,0
E001,ASV534,0,0,0
E001,ASV535,0,0,0
E001,ASV537,0,0,0
E001,ASV539,0,0,0
E001,ASV54,0,0,0
E001,ASV541,0,0,0
E001,ASV543,0,0,0
E001,ASV546,0,0,0
E001,ASV547,0,0,0
E001,ASV548,0,0,0
E001,ASV549,0,0,0
E001,ASV55,0,0,0
E001,ASV550,0,0,0
E001,ASV553,0.28045107029558336,20,1
E001,ASV555,0,0,0
E001,ASV557,0,0,0
E001,ASV558,0,0,0
E001,ASV559,0,0,0
E001,ASV560,0,0,0
E001,ASV562,0,0,0
E001,ASV564,0,0,0
E001,ASV568,0,0,0
E001,ASV57,0,0,0
E001,ASV571,0,0,0
E001,ASV572,0,0,0
E001,ASV573,0,0,0
E001,ASV576,0,0,0
E001,ASV58,0.051132557500253535,1657,1
E001,ASV581,0,0,0
E001,ASV582,0,0,0
E001,ASV583,0,0,0
E001,ASV584,0,0,0
E001,ASV586,0,0,0
E001,ASV589,0,0,0
E001,ASV59,0,0,0
E001,ASV593,0,0,0
E001,ASV595,0,0,0
E001,ASV596,0,0,0
E001,ASV597,0,0,0
E001,ASV6,0,0,0
E001,ASV601,0,0,0
E001,ASV602,0,0,0
E001,ASV603,0,0,0
E001,ASV605,0,0,0
E001,ASV608,0,0,0
E001,ASV609,0,0,0
E001,ASV61,0,0,0
E001,ASV610,0,0,0
E001,ASV614,0,0,0
E001,ASV615,0,0,0
E001,ASV616,0,0,0
E001,ASV617,0,0,0
E001,ASV618,0,0,0
E001,ASV62,0,0,0
E001,ASV621,0,0,0
E001,ASV622,0,0,0
E001,ASV624,0,0,0
E001,ASV628,0,0,0
E001,ASV629,0,0,0
E001,ASV630,0,0,0
E001,ASV631,0,0,0
E001,ASV632,0,0,0
E001,ASV633,0,0,0
E001,ASV634,0,0,0
E001,ASV637,0,0,0
E001,ASV639,0,0,0
E001,ASV64,0,0,0
E001,ASV641,0,0,0
E001,ASV642,0,0,0
E001,ASV643,0,0,0
E001,ASV645,0,0,0
E001,ASV646,0,0,0
E001,ASV65,1,12295,1
E001,ASV67,0,0,0
E001,ASV68,0,0,0
E001,ASV7,0,0,0
E001,ASV70,0,0,0
E001,ASV72,0,0,0
E001,ASV73,1,9606,1
E001,ASV74,0,0,0
E001,ASV75,0,0,0
E001,ASV76,0,0,0
E001,ASV8,0.018506645916211706,2174,1
E001,ASV80,0,0,0
E001,ASV83,0,0,0
E001,ASV84,0,0,0
E001,ASV87,0,0,0
E001,ASV88,0,0,0
E001,ASV89,0,0,0
E001,ASV9,0,0,0
E001,ASV91,0,0,0
E001,ASV93,0,0,0
E001,ASV94,0,0,0
E001,ASV97,0,0,0
E002,ASV1,0.0838565000736094,5392,1
E002,ASV10,0.14844630625991195,7570,1
E002,ASV100,0,0,0
E002,ASV101,0,0,0
E002,ASV106,0,0,0
E002,ASV11,0,0,0
E002,ASV114,0,0,0
E002,ASV118,0,0,0
E002,ASV12,0.3698502545720791,5731,1
E002,ASV121,0,0,0
E002,ASV122,0,0,0
E002,ASV123,0,0,0
E002,ASV127,0,0,0
E002,ASV128,0,0,0
E002,ASV13,0,0,0
E002,ASV133,0,0,0
E002,ASV134,1,3343,1
E002,ASV135,0,0,0
E002,ASV137,0,0,0
E002,ASV138,0,0,0
E002,ASV14,0.4107192324359914,3513,1
E002,ASV140,0,0,0
E002,ASV147,0,0,0
E002,ASV148,0,0,0
E002,ASV153,0,0,0
E002,ASV155,0.027742325530714575,129,1
E002,ASV156,0,0,0
E002,ASV161,1,2264,1
E002,ASV163,0,0,0
E002,ASV164,0,0,0
E002,ASV171,0,0,0
E002,ASV177,0,0,0
E002,ASV179,0,0,0
E002,ASV180,0,0,0
E002,ASV181,0,0,0
E002,ASV182,1,2010,1
E002,ASV183,0,0,0
E002,ASV185,0,0,0
E002,ASV186,0,0,0
E002,ASV188,0,0,0
E002,ASV189,0,0,0
E002,ASV190,0,0,0
E002,ASV191,0,0,0
E002,ASV193,0,0,0
E002,ASV194,0,0,0
E002,ASV195,0,0,0
E002,ASV199,0,0,0
E002,ASV2,0.010276588630987198,59,1
E002,ASV20,0,0,0
E002,ASV200,0,0,0
E002,ASV201,0,0,0
E002,ASV203,0,0,0
E002,ASV206,0,0,0
E002,ASV209,1,1599,1
E002,ASV21,0.006611783314936122,65,1
E002,ASV210,0,0,0
E002,ASV211,0,0,0
E002,ASV212,0,0,0
E002,ASV215,0,0,0
E002,ASV223,0,0,0
E002,ASV225,0,0,0
E002,ASV226,0,0,0
E002,ASV227,0,0,0
E002,ASV229,0,0,0
E002,ASV230,0,0,0
E002,ASV232,0,0,0
E002,ASV235,0,0,0
E002,ASV237,0,0,0
E002,ASV24,0,0,0
E002,ASV241,0,0,0
E002,ASV242,0,0,0
E002,ASV243,0,0,0
E002,ASV244,0,0,0
E002,ASV247,0,0,0
E002,ASV248,0,0,0
E002,ASV249,0,0,0
E002,ASV25,0,0,0
E002,ASV251,0,0,0
E002,ASV252,0,0,0
E002,ASV254,0,0,0
E002,ASV256,0,0,0
E002,ASV257,0,0,0
E002,ASV258,0,0,0
E002,ASV259,0,0,0
E002,ASV261,0,0,0
E002,ASV262,0,0,0
E002,ASV263,0,0,0
E002,ASV264,0,0,0
E002,ASV265,0,0,0
E002,ASV267,0,0,0
E002,ASV27,0,0,0
E002,ASV271,0,0,0
E002,ASV272,0,0,0
E002,ASV273,0,0,0
E002,ASV275,0,0,0
E002,ASV277,0,0,0
E002,ASV278,0,0,0
E002,ASV280,0,0,0
E002,ASV281,0,0,0
E002,ASV282,0,0,0
E002,ASV283,0,0,0
E002,ASV285,0,0,0
E002,ASV286,0,0,0
E002,ASV288,0,0,0
E002,ASV29,0,0,0
E002,ASV290,0,0,0
E002,ASV291,0,0,0
E002,ASV294,0,0,0
E002,ASV295,0,0,0
E002,ASV297,0,0,0
E002,ASV298,0,0,0
E002,ASV30,0,0,0
E002,ASV306,0,0,0
E002,ASV308,0,0,0
E002,ASV309,0,0,0
E002,ASV31,0,0,0
E002,ASV319,0,0,0
E002,ASV32,0,0,0
E002,ASV322,0,0,0
E002,ASV325,0,0,0
E002,ASV327,1,776,1
E002,ASV329,0,0,0
E002,ASV33,0,0,0
E002,ASV330,0,0,0
E002,ASV331,0,0,0
E002,ASV333,0,0,0
E002,ASV337,0,0,0
E002,ASV338,0,0,0
E002,ASV339,0,0,0
E002,ASV34,0,0,0
E002,ASV340,0,0,0
E002,ASV344,0,0,0
E002,ASV345,0,0,0
E002,ASV347,0,0,0
E002,ASV349,0,0,0
E002,ASV351,0,0,0
E002,ASV352,0,0,0
E002,ASV356,0,0,0
E002,ASV357,0,0,0
E002,ASV365,0,0,0
E002,ASV366,0,0,0
E002,ASV367,0,0,0
E002,ASV369,0,0,0
E002,ASV37,0,0,0
E002,ASV371,0,0,0
E002,ASV372,0,0,0
E002,ASV373,0,0,0
E002,ASV374,0,0,0
E002,ASV378,0,0,0
E002,ASV379,0,0,0
E002,ASV381,0,0,0
E002,ASV387,0,0,0
E002,ASV389,0,0,0
E002,ASV39,0,0,0
E002,ASV391,0,0,0
E002,ASV392,0,0,0
E002,ASV394,0,0,0
E002,ASV396,0,0,0
E002,ASV398,0,0,0
E002,ASV4,0,0,0
E002,ASV401,0,0,0
E002,ASV402,0,0,0
E002,ASV405,0,0,0
E002,ASV406,0,0,0
E002,ASV408,0,0,0
E002,ASV409,0,0,0
E002,ASV41,0.30660601371891205,4326,1
E002,ASV410,0,0,0
E002,ASV411,0,0,0
E002,ASV412,0,0,0
E002,ASV413,0,0,0
E002,ASV415,0,0,0
E002,ASV418,0,0,0
E002,ASV419,0,0,0
E002,ASV42,0,0,0
E002,ASV420,0,0,0
E002,ASV421,0,0,0
E002,ASV423,0,0,0
E002,ASV425,0,0,0
E002,ASV426,0,0,0
E002,ASV428,0,0,0
E002,ASV429,0,0,0
E002,ASV430,0,0,0
E002,ASV433,0,0,0
E002,ASV435,0,0,0
E002,ASV436,0,0,0
E002,ASV437,0,0,0
E002,ASV438,0,0,0
E002,ASV439,0,0,0
E002,ASV443,0,0,0
E002,ASV444,0,0,0
E002,ASV447,0,0,0
E002,ASV449,0,0,0
E002,ASV45,0,0,0
E002,ASV451,0,0,0
E002,ASV452,0,0,0
E002,ASV453,0,0,0
E002,ASV454,0,0,0
E002,ASV457,0,0,0
E002,ASV459,0,0,0
E002,ASV46,0,0,0
E002,ASV463,0,0,0
E002,ASV466,0,0,0
E002,ASV467,0,0,0
E002,ASV468,0,0,0
E002,ASV469,0,0,0
E002,ASV47,0.05163148487601868,402,1
E002,ASV470,0,0,0
E002,ASV472,0,0,0
E002,ASV474,0,0,0
E002,ASV475,0,0,0
E002,ASV476,0,0,0
E002,ASV477,0,0,0
E002,ASV478,0,0,0
E002,ASV479,0,0,0
E002,ASV480,0,0,0
E002,ASV482,0,0,0
E002,ASV483,0,0,0
E002,ASV487,0,0,0
E002,ASV488,0,0,0
E002,ASV492,0,0,0
E002,ASV493,0,0,0
E002,ASV495,0,0,0
E002,ASV496,0,0,0
