LCT,environment,max_length_cm,common_length_cm,in_range,habitat
Sebastes nebulosus,reef_associated,45,NA,y,reef_associated
Sebastolobus macrochir,bathydemersal,44,26.4,y,bathydemersal
Spirinchus starksi,benthopelagic,23,NA,y,benthopelagic
Spirinchus starksi,benthopelagic,23,NA,y,benthopelagic
Squalus acanthias,benthopelagic,160,100,n,benthopelagic
Squalus suckleyi,benthopelagic,140,NA,y,benthopelagic
Thaleichthys pacificus,pelagic_neritic,34,20,y,pelagic
Xiphister atropurpureus,demersal,30.5,NA,y,demersal
Xiphister atropurpureus/mucosus,demersal,44.25,NA,y,demersal
Xiphister mucosus,demersal,58,NA,y,demersal
Zoarcidae ,demersal,10,NA,y,demersal
Zoarcidae,demersal,10,NA,y,demersal
Sebastes,NA,NA,NA,y,NA
