"","0_SB_15","0_SB_16","100_JS_5","100_MI_3","115_MI_4","120_JF_9","120_JS_2","125_JS_6","140_JS_7","200_JF_11","25_JF_12","50_JS_1","5_JF_TS1","80_JF_10","80_JF_8","80_JF_TS1","80_SB_14","85_JF_TS2"
"ASV1",0.997465736353275,0.980457515509146,0.984032430045943,0.979373552701099,0.97848816394113,0.978536702813545,0.973225242210486,0.730772218693239,0.973017187856052,0.977639068112057,0.73940586351758,0.977342763419541,0.976872358193176,0.979297952249674,0.977072787985933,0.975484819838362,0.918196282015805,0.975782850262321
"ASV2",0.990408780416487,0.978922700818194,0.838985593349875,0.981468115919926,0.141680749082573,0.985004174067584,0.97775920070777,0.976090696385775,0.74091410096123,0.737047232700424,0.741826303288702,0.991432321529003,0.749934137524066,0.737807026695857,0.975852351227805,0.691049250250185,0.978670641951897,0.738314752759557
"ASV3",0.997851748347187,0.976776224916816,0.293277900141581,0.976304621591442,0.940039626643223,0.979035903084335,0.961522672271219,0.144619240601492,0.154123509382122,0.190430336892217,0.734575352505659,0.941180778916512,0.977471518732772,0.941584713721959,0.976586405817216,0.976345681436138,0.851956978381314,0.97577059908748
"ASV4",0.984289369500989,0.979946600283163,0.167711584845663,0.174381072731898,0.728161754757132,0.718991612399124,0.188305302498721,0.176097513994314,0.74029494021617,0.972351942575324,0.739804220169255,0.159999477175258,0.183466889993177,0.992864466601401,0.743711087554581,0.151374409295291,0.977335397266183,0.139495260635404
"ASV5",0.738150698170029,0.159560911394733,0.740014495833317,0.151671481646183,0.150903715611923,0.155640759463422,0.163999564551968,0.192137910541416,0.145294730811688,0.196633422735387,0.163978471762137,0.744795663036614,0.140928126273228,0.0344858850247458,0.159150641311172,0.158363890780843,0.728983792560621,0.172543111441439
"ASV6",0.951257597600862,0.979348722649254,0.225079269443906,0.157470649049173,0.162619370497879,0.136071953088291,0.722974043137281,0.150547357653969,0.136032767158425,0.15778993149378,0.15269333559523,0.978266131600075,0.147728707902373,0.163957881196736,0.738678130856702,0.138194453165592,0.212813815901477,0.127346818024094
"ASV7",0.305459957837836,0.958800235086825,0.162376774932743,0.188977994532196,0.159595882258462,0.980077929105042,0.163360595303471,0.218174822709571,0.166887000676537,0.733620431137361,0.155643633818609,0.730827410173612,0.192107946802413,0.121896043502802,0.170162316433139,0.167676290797263,0.980092074634673,0.137923398059532
"ASV8",0.905488879385177,0.974407472410287,0.0191826799069039,0.723827610861387,0.159264021766799,0.15816384603805,0.976778228754233,0.264430342298945,0.174522935307394,0.180678753005181,0.144889999992142,0.975131038538679,0.137780332241389,0.13360251295078,0.736250680056284,0.976964245508099,0.849506986966551,0.746783382253488
"ASV9",0.76645857850402,0.980349488869346,0.137554195803099,0.186578900747639,0.135886145234739,0.161620767555264,0.168347701232775,0.293946630659854,0.744063257416838,0.070154650924668,0.119396327464838,0.0588910223140627,0.721904969537098,0.7318903737757,0.147446006627399,0.178586969073889,0.982605100555412,0.1776143850259
"ASV10",0.00763502426733225,0.184326112961787,0.73754598774083,0.189982941730996,0.146155382595759,0.16358244163933,0.165707023403044,0.147319817440512,0.165540186829418,0.752932529614914,0.141666578719084,0.318996867948598,0.111989486438887,0.141680749082573,0.651221626934784,0.143620566604544,0.187032233703122,0.172734590783784
