level,LCT,class,order,family,genus,species,all_species
species,Allosmerus elongatus,NA,Osmeriformes,Osmeridae,Allosmerus,Allosmerus elongatus,Allosmerus elongatus
species, Lycodapus mandibularis,NA,Perciformes,Zoarcidae,, Lycodapus mandibularis, Lycodapus mandibularis
species,Clupea palassi,NA,Clupeiformes,Clupeidae,Clupea,Clupea palassi,Clupea palassi
species,Atheresthes stomias,NA,Pleuronectiformes,Pleuronectidae,Atheresthes,Atheresthes stomias,Atheresthes stomias
genus,Anoplarchus insignis/purpurescens,NA,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis/purpurescens,"Anoplarchus insignis, Anoplarchus purpurescens"
genus,Lepidopsetta bilineata/polyxystra,NA,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta bilineata/polyxystra,"Lepidopsetta bilineata, Lepidopsetta polyxystra"
genus,Sebastes caurinus/maliger,NA,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus/maliger,"Sebastes caurinus, Sebastes maliger"
genus,Xiphister atropurpureus/mucosus,NA,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus/mucosus,"Xiphister atropurpureus, Xiphister mucosus"
family,Pleuronectidae1,NA,Pleuronectiformes,Pleuronectidae,Pleuronectidae1,Pleuronectidae1,"Isopsetta isolepis, Parophrys vetulus, Psettichthys melanostictus"
family,Liparidae1,NA,Scorpaeniformes,Liparidae,Liparidae1,Liparidae1,"Lipariscus nanus, Paraliparis rosaceus, Rhinoliparis barbulifer"
