set_number,Jac,Jac_turn,Jac_nest,Sor_turn,Sor_nest
12,0.6923076923076924,0.5,0.19230769230769232,0.3333333333333333,0.19607843137254902
13,0.7142857142857143,0.4,0.3142857142857143,0.25,0.3055555555555555
14,0.9310344827586207,0.6666666666666666,0.26436781609195403,0.5,0.3709677419354839
15,0.8333333333333333,0.3333333333333333,0.5,0.2,0.5142857142857143
16,0.9,0,0.9,0,0.8181818181818182
8,0.7368421052631579,0.2857142857142857,0.45112781954887216,0.16666666666666666,0.4166666666666667
1,0.8947368421052632,0,0.8947368421052632,0,0.8095238095238095
3,0.8,0.3333333333333333,0.4666666666666666,0.2,0.4666666666666667
10,0.7222222222222222,0.4444444444444444,0.2777777777777778,0.2857142857142857,0.27950310559006214
5,0.8571428571428571,0,0.8571428571428571,0,0.75
7,0.8125000000000001,0.5714285714285714,0.24107142857142855,0.4,0.28421052631578947
9,0.7499999999999999,0.5,0.25,0.3333333333333333,0.2666666666666667
2,0.6875000000000001,0,0.6875,0,0.5238095238095238
6,0.6428571428571429,0.2857142857142857,0.35714285714285715,0.16666666666666666,0.30701754385964913
4,0.7499999999999999,0.4444444444444444,0.3055555555555556,0.2857142857142857,0.31428571428571433
11,0.25,0,0.25,0,0.14285714285714285
